,STT,CustomerRef,CustomerName,SoldToCode,SoldToName,MajorAccount,MajorAccountCode,MajorAccountCode.1,Channel,SubChannel,Longitude,Latitude,City,State,Country,SalesOrganization,Region
18,19,11000307,Customer 67,11000307,Company 23,Account 6,91346,91223,Foodservice,National Distributor,149.1527973,-35.3226104,Unincorporated Australian Capital Territory,Australian Capital Territory,Australia,Organization 1,Australian Capital Territory
19,20,11000308,Customer 68,11000308,Company 24,Account 6,91346,91223,Foodservice,National Distributor,151.281468,-33.4124416,Gosford,New South Wales,Australia,Organization 1,Central Coast & Newcastle
20,21,11000309,Customer 69,11000309,Company 25,Account 6,91346,91223,Foodservice,National Distributor,153.089454,-30.3454645,Coffs Harbour,New South Wales,Australia,Organization 1,Coffs Harbour - Grafton
21,22,11000310,Customer 70,11000310,Company 26,Account 6,91346,91223,Foodservice,National Distributor,130.9275223,-12.4619092,Unincorporated Norther Territories,Northern Territory,Australia,Organization 1,Darwin
22,23,11000312,Customer 71,11000312,Company 27,Account 6,91346,91223,Foodservice,National Distributor,144.38136,-38.183748,Greater Geelong,Victoria,Australia,Organization 1,Ballarat & Geelong
23,24,11000313,Customer 72,11000313,Company 28,Account 6,91346,91223,Foodservice,National Distributor,153.4124363,-28.1062933,Gold Coast,Queensland,Australia,Organization 1,Gold Coast
24,25,11000314,Customer 73,11000314,Company 29,Account 6,91346,91223,Foodservice,National Distributor,152.8901317,-25.3092966,Fraser Coast,Queensland,Australia,Organization 1,Sunshine Coast & Wide Bay
25,26,11000315,Customer 74,11000315,Company 30,Account 6,91346,91223,Foodservice,National Distributor,147.4683286,-42.8295675,Clarence,Tasmania,Australia,Organization 1,Hobart & South East
26,27,11000317,Customer 75,11000317,Company 31,Account 6,91346,91223,Foodservice,National Distributor,138.5417527,-34.9552865,West Torrens,South Australia,Australia,Organization 1,Adelaide
27,28,11000318,Customer 76,11000318,Company 32,Account 6,91346,91223,Foodservice,National Distributor,153.2633386,-28.829374,Lismore,New South Wales,Australia,Organization 1,Richmond - Tweed
28,29,11000319,Customer 77,11000319,Company 33,Account 6,91346,91223,Foodservice,National Distributor,149.1698136,-21.1726317,Mackay,Queensland,Australia,Organization 1,Mackay - Isaac - Whitsunday
